10-09 11:44:06.174      745-791/? W/BroadcastQueue﹕ Unable to launch app de.smart_sense.tracker/10094 for broadcast Intent { act=de.smart_sense.tracker.data_zip_upload.action.startService flg=0x14 cmp=de.smart_sense.tracker/.myReceiver (has extras) }: process is bad


10-09 12:08:32.314      745-791/? W/ActivityManager﹕ Timeout executing service: ServiceRecord{431ea8a8 u0 de.smart_sense.tracker/.data_zip_upload.ZipUploadService}



10-14 19:00:01.874    190-12492/? E/Sensors﹕ sns_time.c(603):WARNING! DSPS-clock potentially stalled. apps-dsps_offset: 902617046, dsps ts: 2202666534, apps_ts: 6877962496125173760




10-14 20:14:24.984    745-27029/? E/qcom_sensors_hal﹕ hal_process_buffering_resp: Result: 1, Error: 2
10-14 20:14:24.984      745-758/? E/qcom_sensors_hal﹕ hal_acquire_resources: Failed for handle 10 @ samp 60 Hz rpt 0 Hz WuFF 0 batched 0
10-14 20:14:24.994      190-190/? E/Sensors﹕ sns_acm_mr.c(625):Error allocating response message
10-14 20:14:24.994      190-190/? E/Sensors﹕ sns_main.c(1257):Error writing request. sns_err 2 error 0 qmi_err 0
10-14 20:14:24.994      745-779/? E/sensor_reg﹕ sensor_reg_process_resp: Error in RESP; result: 2
10-14 20:14:24.994      745-758/? E/sensor_reg﹕ sensor_reg_read: error processing message
10-14 20:14:24.994      745-758/? E/qcom_sensors_hal﹕ hal_get_raw_data_mode: Error in sensor_reg_read(): -3
10-14 20:14:24.994      190-190/? E/Sensors﹕ sns_acm_mr.c(625):Error allocating response message
10-14 20:14:24.994      190-190/? E/Sensors﹕ sns_main.c(1257):Error writing request. sns_err 2 error 0 qmi_err 0
10-14 20:14:24.994    745-27029/? E/qcom_sensors_hal﹕ hal_process_buffering_resp: Result: 1, Error: 2
10-14 20:14:24.994      745-758/? E/qcom_sensors_hal﹕ hal_acquire_resources: Failed for handle 0 @ samp 200 Hz rpt 0 Hz WuFF 0 batched 0
10-14 20:14:24.994      190-190/? E/Sensors﹕ sns_acm_mr.c(625):Error allocating response message
10-14 20:14:25.004      190-190/? E/Sensors﹕ sns_main.c(1257):Error writing request. sns_err 2 error 0 qmi_err 0
10-14 20:14:25.004      745-779/? E/sensor_reg﹕ sensor_reg_process_resp: Error in RESP; result: 2
10-14 20:14:25.004      745-758/? E/sensor_reg﹕ sensor_reg_read: error processing message
10-14 20:14:25.004      745-758/? E/qcom_sensors_hal﹕ hal_get_raw_data_mode: Error in sensor_reg_read(): -3
10-14 20:14:25.004      190-190/? E/Sensors﹕ sns_acm_mr.c(625):Error allocating response message
10-14 20:14:25.004      190-190/? E/Sensors﹕ sns_main.c(1257):Error writing request. sns_err 2 error 0 qmi_err 0
10-14 20:14:25.004    745-27029/? E/qcom_sensors_hal﹕ hal_process_buffering_resp: Result: 1, Error: 2
10-14 20:14:25.004      745-758/? E/qcom_sensors_hal﹕ hal_acquire_resources: Failed for handle 2 @ samp 200 Hz rpt 0 Hz WuFF 0 batched 0
10-14 20:14:25.004      190-190/? E/Sensors﹕ sns_acm_mr.c(625):Error allocating response message
10-14 20:14:25.004      190-190/? E/Sensors﹕ sns_main.c(1257):Error writing request. sns_err 2 error 0 qmi_err 0
